Ourcontigname,topnrMatch,Description,GOBP,GOMF,Keywords
contig202349,predicted protein [Nematostella vectensis] gi|156218969|gb|EDO39857.1| predicted protein [Nematostella vectensis],Kelch-like protein 2,actin binding (GO:0003779);,cytoplasm (GO:0005737);cytoskeleton (GO:0005856);,Actin-binding;Complete proteome;Cytoplasm;Cytoskeleton;Kelch repeat;Reference proteome;Repeat.;
contig24474_8625_16301,PREDICTED: similar to predicted protein [Hydra magnipapillata],"POU domain, class 4, transcription factor 2",chromatin binding (GO:0003682);RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription (GO:0001078);RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription (GO:0001077);,nuclear speck (GO:0016607);,Activator;Complete proteome;DNA-binding;Homeobox;Nucleus;Reference proteome;Transcription;Transcription regulation.;
contig145710,predicted protein [Nematostella vectensis] gi|156221021|gb|EDO41881.1| predicted protein [Nematostella vectensis],Transcription factor AP-2-alpha,chromatin binding (GO:0003682);RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978);RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in negative regulation of transcription (GO:0001078);RNA polymerase II core promoter proximal region sequence-specific DNA binding transcription factor activity involved in positive regulation of transcription (GO:0001077);transcription coactivator activity (GO:0003713);transcription factor binding (GO:0008134);,cytosol (GO:0005829);nucleus (GO:0005634);,Activator;Complete proteome;DNA-binding;Isopeptide bond;Nucleus;Phosphoprotein;Reference proteome;Transcription;Transcription regulation;Ubl conjugation.;
contig22411,hypothetical protein NEMVEDRAFT_v1g147359 [Nematostella vectensis] gi|156404236|ref|XP_001640313.1| predicted protein [Nematostella vectensis] gi|156205931|gb|EDO28599.1| predicted protein [Nematostella vectensis] gi|156227447|gb|EDO48250.1| predicted protein [Nematostella vectensis],Krueppel-like factor 7,DNA binding (GO:0003677);sequence-specific DNA binding transcription factor activity (GO:0003700);zinc ion binding (GO:0008270);,nucleus (GO:0005634);,Activator;Complete proteome;DNA-binding;Metal-binding;Nucleus;Reference proteome;Repeat;Transcription;Transcription regulation;Zinc;Zinc-finger.;
contig83042_135178_174757,predicted protein [Nematostella vectensis] gi|156208963|gb|EDO30326.1| predicted protein [Nematostella vectensis],Krueppel-like factor 6,double-stranded DNA binding (GO:0003690);sequence-specific DNA binding transcription factor activity (GO:0003700);zinc ion binding (GO:0008270);,nucleus (GO:0005634);,Activator;Complete proteome;DNA-binding;Metal-binding;Nucleus;Reference proteome;Repeat;Transcription;Transcription regulation;Zinc;Zinc-finger.;
contig208190,hypothetical protein BRAFLDRAFT_118555 [Branchiostoma floridae] gi|229285983|gb|EEN56706.1| hypothetical protein BRAFLDRAFT_118555 [Branchiostoma floridae],Mediator of RNA polymerase II transcription subunit 24,receptor activity (GO:0004872);RNA polymerase II transcription cofactor activity (GO:0001104);thyroid hormone receptor binding (GO:0046966);,No_GOCC,Activator;Complete proteome;Nucleus;Reference proteome;Repeat;Transcription;Transcription regulation.;
contig152612,predicted protein [Nematostella vectensis] gi|156224117|gb|EDO44945.1| predicted protein [Nematostella vectensis],Coagulation factor VIII,copper ion binding (GO:0005507);oxidoreductase activity (GO:0016491);,extracellular space (GO:0005615);,Acute phase;Blood coagulation;Calcium;Complete proteome;Disulfide bond;Glycoprotein;Metal-binding;Reference proteome;Repeat;Secreted;Signal;Sulfation.;
contig149904,predicted protein [Nematostella vectensis] gi|156219967|gb|EDO40841.1| predicted protein [Nematostella vectensis],Cyclin-dependent kinase 11B,ATP binding (GO:0005524);cyclin-dependent protein kinase activity (GO:0004693);protein binding (GO:0005515);,cytoplasm (GO:0005737);nucleus (GO:0005634);,Alternative initiation;Alternative splicing;Apoptosis;ATP-binding;Cell cycle;Complete proteome;Cytoplasm;Kinase;Nucleotide-binding;Nucleus;Phosphoprotein;Polymorphism;Reference proteome;Serine/threonine-protein kinase;Transferase.;
contig73739_209573,hypothetical protein BRAFLDRAFT_75405 [Branchiostoma floridae] gi|229297858|gb|EEN68490.1| hypothetical protein BRAFLDRAFT_75405 [Branchiostoma floridae],"Cysteine desulfurase, mitochondrial",cysteine desulfurase activity (GO:0031071);pyridoxal phosphate binding (GO:0030170);,mitochondrion (GO:0005739);nucleus (GO:0005634);,Alternative initiation;Cytoplasm;Mitochondrion;Molybdenum cofactor biosynthesis;Nucleus;Pyridoxal phosphate;Transferase;Transit peptide.;
contig75439,predicted protein [Nematostella vectensis] gi|156213957|gb|EDO34959.1| predicted protein [Nematostella vectensis],Programmed cell death protein 4,RNA binding (GO:0003723);,cytosol (GO:0005829);nucleus (GO:0005634);,Alternative splicing;Apoptosis;Complete proteome;Cytoplasm;Nucleus;Phosphoprotein;Reference proteome;Repeat;RNA-binding;Tumor suppressor;Ubl conjugation.;
contig177247,predicted protein [Nematostella vectensis] gi|156226966|gb|EDO47772.1| predicted protein [Nematostella vectensis],"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",calcium ion binding (GO:0005509);,cytoplasm (GO:0005737);extracellular region (GO:0005576);membrane (GO:0016020);,Alternative splicing;Calcium;Cell adhesion;Complete proteome;Cytoplasm;Disulfide bond;EGF-like domain;Glycoprotein;Membrane;Polymorphism;Reference proteome;Repeat;Secreted;Signal;Sushi.;
contig152241,predicted protein [Nematostella vectensis] gi|156227243|gb|EDO48048.1| predicted protein [Nematostella vectensis],Anoctamin-3,chloride channel activity (GO:0005254);,chloride channel complex (GO:0034707);,Alternative splicing;Calcium;Chloride;Chloride channel;Complete proteome;Glycoprotein;Ion transport;Ionic channel;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport.;
contig104731,unnamed protein product [Oikopleura dioica],Fibropellin-1,calcium ion binding (GO:0005509);,apical lamina of hyaline layer (GO:0032579);cytoplasmic membrane-bounded vesicle (GO:0016023);extracellular space (GO:0005615);,Alternative splicing;Calcium;Cytoplasmic vesicle;Disulfide bond;EGF-like domain;Extracellular matrix;Glycoprotein;Repeat;Secreted;Signal.;
contig110500_179971,predicted protein [Nematostella vectensis] gi|156212126|gb|EDO33199.1| predicted protein [Nematostella vectensis],Fibropellin-1,calcium ion binding (GO:0005509);,apical lamina of hyaline layer (GO:0032579);cytoplasmic membrane-bounded vesicle (GO:0016023);extracellular space (GO:0005615);,Alternative splicing;Calcium;Cytoplasmic vesicle;Disulfide bond;EGF-like domain;Extracellular matrix;Glycoprotein;Repeat;Secreted;Signal.;
contig107738,predicted protein [Nematostella vectensis] gi|156213295|gb|EDO34320.1| predicted protein [Nematostella vectensis],Neuroplastin,cell adhesion molecule binding (GO:0050839);type 1 fibroblast growth factor receptor binding (GO:0005105);,integral to membrane (GO:0016021);plasma membrane (GO:0005886);presynaptic membrane (GO:0042734);,Alternative splicing;Cell adhesion;Cell membrane;Complete proteome;Direct protein sequencing;Disulfide bond;Glycoprotein;Immunoglobulin domain;Membrane;Neurogenesis;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;
contig205944,hypothetical protein NEMVEDRAFT_v1g142236 [Nematostella vectensis] gi|156208622|gb|EDO30072.1| predicted protein [Nematostella vectensis],Contactin-associated protein-like 2,enzyme binding (GO:0019899);receptor binding (GO:0005102);,axolemma (GO:0030673);cell surface (GO:0009986);dendrite (GO:0030425);early endosome (GO:0005769);Golgi apparatus (GO:0005794);juxtaparanode region of axon (GO:0044224);perikaryon (GO:0043204);voltage-gated potassium channel complex (GO:0008076);,Alternative splicing;Cell adhesion;Chromosomal rearrangement;Complete proteome;Disulfide bond;EGF-like domain;Epilepsy;Glycoprotein;Membrane;Phosphoprotein;Polymorphism;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;
contig83045,PREDICTED: WD repeat-containing protein 6-like [Anolis carolinensis],WD repeat-containing protein 6,insulin receptor substrate binding (GO:0043560);,cytoplasm (GO:0005737);soluble fraction (GO:0005625);,Alternative splicing;Cell cycle;Complete proteome;Cytoplasm;Reference proteome;Repeat;WD repeat.;
contig78984,predicted protein [Nematostella vectensis] gi|156218774|gb|EDO39666.1| predicted protein [Nematostella vectensis],Transmembrane protease serine 6,serine-type endopeptidase activity (GO:0004252);,integral to membrane (GO:0016021);plasma membrane (GO:0005886);,Alternative splicing;Cell membrane;Complete proteome;Disulfide bond;Glycoprotein;Hydrolase;Membrane;Protease;Reference proteome;Repeat;Serine protease;Signal-anchor;Transmembrane;Transmembrane helix.;
contig210825_72122,hypothetical protein A043-H7 [Acropora millepora],Uncharacterized protein C21orf63 homolog,sugar binding (GO:0005529);,integral to membrane (GO:0016021);plasma membrane (GO:0005886);,Alternative splicing;Cell membrane;Complete proteome;Glycoprotein;Lectin;Membrane;Phosphoprotein;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane helix.;
