#GO enrichment for all type A BioProject samples analyzed together,,,,,,
#delta.rank = the difference in the mean rank for the GO term and the mean rank for all other genes. Larger negative values indicate tendency toward downregulation under stress. Positive values indicate tendency toward upregulation.,,,,,,
#pval = the raw p-value for the GO terms enrichment,,,,,,
#nseqs = the number of genes in the dataset annotated with the GO term,,,,,,
#term = the GO term accession,,,,,,
#name = the descriptive name of the GO term,,,,,,
#p.adj =  p-value adjusted for multiple testing (Benjamini–Hochberg procedure),,,,,,
#goDivision = the division the GO term is from (BP=Biological Process; MF = Moleular Function; CC = Cellular Compnent),,,,,,
delta.rank,pval,nseqs,term,name,p.adj,goDivision
1622,3.87E-11,69,GO:0006613;GO:0006614;GO:0045047,protein targeting to ER,2.06E-09,BP
1390,8.37E-11,91,GO:0002758,innate immune response-activating signal transduction,4.36E-09,BP
1746,9.55E-11,57,GO:0071158,positive regulation of cell cycle arrest,4.86E-09,BP
1830,1.38E-10,51,GO:1902402;GO:0072422;GO:1902403;GO:0072401;GO:0072413;GO:0072395,signal transduction involved in mitotic DNA damage checkpoint,6.87E-09,BP
868,1.45E-10,232,GO:0120035,regulation of plasma membrane bounded cell projection organization,7.07E-09,BP
1377,1.55E-10,90,GO:0002221,pattern recognition receptor signaling pathway,7.28E-09,BP
1276,1.56E-10,105,GO:0002218,activation of innate immune response,7.28E-09,BP
-707,1.78E-10,353,GO:0000280,nuclear division,8.15E-09,BP
849,2.39E-10,237,GO:0031344,regulation of cell projection organization,1.07E-08,BP
1503,2.98E-10,73,GO:0072599,establishment of protein localization to endoplasmic reticulum,1.29E-08,BP
800,3.00E-10,265,GO:0045087,innate immune response,1.29E-08,BP
1360,3.25E-10,89,GO:0034620,cellular response to unfolded protein,1.37E-08,BP
1016,3.78E-10,160,GO:0001817,regulation of cytokine production,1.57E-08,BP
1422,4.54E-10,80,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",1.85E-08,BP
639,4.73E-10,415,GO:0006955,immune response,1.89E-08,BP
-1718,5.63E-10,54,GO:0000236,mitotic prometaphase,2.21E-08,BP
1379,5.93E-10,84,GO:0030968,endoplasmic reticulum unfolded protein response,2.29E-08,BP
1438,6.14E-10,77,GO:0070972,protein localization to endoplasmic reticulum,2.33E-08,BP
594,7.34E-10,475,GO:0007167,enzyme linked receptor protein signaling pathway,2.74E-08,BP
1632,7.53E-10,59,GO:0031571;GO:0044783;GO:0044819,mitotic G1 DNA damage checkpoint,2.75E-08,BP
-1283,7.61E-10,96,GO:0006302,double-strand break repair,2.75E-08,BP
934,9.60E-10,181,GO:0010769,regulation of cell morphogenesis involved in differentiation,3.41E-08,BP
618,9.82E-10,428,GO:0002682,regulation of immune system process,3.44E-08,BP
1264,1.10E-09,97,GO:0006413,translational initiation,3.80E-08,BP
647,1.25E-09,383,GO:0042327,positive regulation of phosphorylation,4.23E-08,BP
-745,1.28E-09,285,GO:0051321,meiotic cell cycle,4.28E-08,BP
619,2.08E-09,409,GO:0045937;GO:0010562,positive regulation of phosphate metabolic process,6.87E-08,BP
868,2.20E-09,201,GO:0010975,regulation of neuron projection development,7.13E-08,BP
1480,2.77E-09,67,GO:0019058,viral life cycle,8.87E-08,BP
1725,4.32E-09,48,GO:0006415,translational termination,1.36E-07,BP
715,4.44E-09,289,GO:0016567,protein ubiquitination,1.38E-07,BP
472,4.78E-09,703,GO:0031399,regulation of protein modification process,1.47E-07,BP
818,5.42E-09,216,GO:0006511,ubiquitin-dependent protein catabolic process,1.64E-07,BP
1162,5.59E-09,105,GO:0035967,cellular response to topologically incorrect protein,1.67E-07,BP
1119,6.06E-09,113,GO:0048011,neurotrophin TRK receptor signaling pathway,1.79E-07,BP
1180,6.49E-09,101,GO:0010565,regulation of cellular ketone metabolic process,1.89E-07,BP
757,6.84E-09,250,GO:0051603,proteolysis involved in cellular protein catabolic process,1.96E-07,BP
511,6.95E-09,576,GO:0042325,regulation of phosphorylation,1.97E-07,BP
730,7.51E-09,268,GO:0045860,positive regulation of protein kinase activity,2.10E-07,BP
747,7.66E-09,255,GO:0044257,cellular protein catabolic process,2.12E-07,BP
-1833,7.99E-09,41,GO:0022616,DNA strand elongation,2.17E-07,BP
-1006,8.03E-09,138,GO:0033044,regulation of chromosome organization,2.17E-07,BP
529,8.29E-09,528,GO:0048585,negative regulation of response to stimulus,2.19E-07,BP
1104,8.30E-09,114,GO:0038179,neurotrophin signaling pathway,2.19E-07,BP
755,8.45E-09,248,GO:0044764,multi-organism cellular process,2.20E-07,BP
908,8.96E-09,169,GO:0048193,Golgi vesicle transport,2.31E-07,BP
1431,9.18E-09,67,GO:0033238,regulation of cellular amine metabolic process,2.34E-07,BP
629,1.02E-08,359,GO:0070647,protein modification by small protein conjugation or removal,2.56E-07,BP
-1841,1.04E-08,40,GO:0006271,DNA strand elongation involved in DNA replication,2.57E-07,BP
601,1.05E-08,395,GO:0009894,regulation of catabolic process,2.57E-07,BP
-609,1.06E-08,384,GO:0048285,organelle fission,2.57E-07,BP
622,1.17E-08,365,GO:0001934,positive regulation of protein phosphorylation,2.82E-07,BP
-1697,1.54E-08,46,GO:0071897,DNA biosynthetic process,3.66E-07,BP
1475,1.55E-08,61,GO:0006414,translational elongation,3.66E-07,BP
-1839,1.65E-08,39,GO:0007131;GO:0035825,reciprocal meiotic recombination,3.85E-07,BP
699,1.73E-08,279,GO:0033674,positive regulation of kinase activity,4.00E-07,BP
1387,2.02E-08,68,GO:0000022,mitotic spindle elongation,4.61E-07,BP
1199,2.10E-08,91,GO:0006984,ER-nucleus signaling pathway,4.70E-07,BP
823,2.10E-08,196,GO:0050778,positive regulation of immune response,4.70E-07,BP
660,2.13E-08,310,GO:0032446,protein modification by small protein conjugation,4.70E-07,BP
1426,2.14E-08,64,GO:0071156,regulation of cell cycle arrest,4.70E-07,BP
550,2.19E-08,455,GO:0006952,defense response,4.74E-07,BP
510,2.20E-08,537,GO:0001932,regulation of protein phosphorylation,4.74E-07,BP
-1574,2.47E-08,52,GO:0044786,cell cycle DNA replication,5.28E-07,BP
985,2.60E-08,134,GO:0010498;GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,5.50E-07,BP
1037,2.80E-08,120,GO:0045089,positive regulation of innate immune response,5.86E-07,BP
1363,3.47E-08,68,GO:0002224,toll-like receptor signaling pathway,7.20E-07,BP
1193,3.56E-08,89,GO:0050770,regulation of axonogenesis,7.31E-07,BP
761,3.74E-08,222,GO:0019941,modification-dependent protein catabolic process,7.62E-07,BP
601,3.77E-08,363,GO:0031329,regulation of cellular catabolic process,7.62E-07,BP
800,4.45E-08,198,GO:0042303,molting cycle,8.90E-07,BP
-862,4.88E-08,169,GO:0046942;GO:0015849,organic acid transport,9.61E-07,BP
1655,4.89E-08,45,GO:0019080;GO:0019083,viral gene expression,9.61E-07,BP
-873,5.59E-08,163,GO:0046394;GO:0016053,organic acid biosynthetic process,1.09E-06,BP
-1405,5.64E-08,62,GO:0032200,telomere organization,1.09E-06,BP
-857,6.33E-08,168,GO:0140013,meiotic nuclear division,1.21E-06,BP
541,7.02E-08,435,GO:0006886,intracellular protein transport,1.33E-06,BP
-1402,7.73E-08,61,GO:0000723,telomere maintenance,1.45E-06,BP
1357,7.89E-08,65,GO:0034142,toll-like receptor 4 signaling pathway,1.47E-06,BP
737,8.25E-08,225,GO:0043632,modification-dependent macromolecule catabolic process,1.52E-06,BP
648,8.27E-08,294,GO:0022604,regulation of cell morphogenesis,1.52E-06,BP
508,9.61E-08,487,GO:0051338,regulation of transferase activity,1.75E-06,BP
-728,1.16E-07,225,GO:0015711,organic anion transport,2.10E-06,BP
648,1.17E-07,287,GO:0044419,interspecies interaction between organisms,2.11E-06,BP
518,1.23E-07,459,GO:0044265,cellular macromolecule catabolic process,2.18E-06,BP
481,1.32E-07,535,GO:0010259,multicellular organism aging,2.32E-06,BP
-677,1.34E-07,259,GO:0051186,cofactor metabolic process,2.35E-06,BP
984,1.37E-07,120,GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,2.38E-06,BP
685,1.39E-07,252,GO:0006412,translation,2.39E-06,BP
1392,1.52E-07,59,GO:0034138,toll-like receptor 3 signaling pathway,2.60E-06,BP
647,1.59E-07,281,GO:0044403,symbiont process,2.70E-06,BP
1266,1.68E-07,71,GO:0051231,spindle elongation,2.84E-06,BP
446,1.86E-07,615,GO:0045184,establishment of protein localization,3.11E-06,BP
480,1.95E-07,522,GO:0008340,determination of adult lifespan,3.24E-06,BP
542,1.98E-07,402,GO:0061024,membrane organization,3.26E-06,BP
-1112,2.04E-07,91,GO:0015718,monocarboxylic acid transport,3.32E-06,BP
562,2.04E-07,371,GO:0009607,response to biotic stimulus,3.32E-06,BP
465,2.31E-07,553,GO:0009967,positive regulation of signal transduction,3.72E-06,BP
-838,2.58E-07,159,GO:0098813,nuclear chromosome segregation,4.13E-06,BP
851,2.82E-07,153,GO:0007264,small GTPase mediated signal transduction,4.48E-06,BP
1306,2.93E-07,64,GO:0030330,"DNA damage response, signal transduction by p53 class mediator",4.62E-06,BP
521,3.06E-07,423,GO:0009968,negative regulation of signal transduction,4.79E-06,BP
1130,3.28E-07,85,GO:0072331,signal transduction by p53 class mediator,5.10E-06,BP
825,3.36E-07,161,GO:0031349,positive regulation of defense response,5.18E-06,BP
564,3.41E-07,354,GO:0030163,protein catabolic process,5.23E-06,BP
685,3.65E-07,235,GO:1903530,regulation of secretion by cell,5.56E-06,BP
864,3.87E-07,145,GO:1903322,positive regulation of protein modification by small protein conjugation or removal,5.85E-06,BP
687,3.96E-07,232,GO:0016032,viral process,5.95E-06,BP
497,4.18E-07,457,GO:0023057,negative regulation of signaling,6.21E-06,BP
1377,4.19E-07,56,GO:0002756,MyD88-independent toll-like receptor signaling pathway,6.21E-06,BP
750,4.73E-07,191,GO:0051056,regulation of small GTPase mediated signal transduction,6.97E-06,BP
955,5.00E-07,116,GO:0031098,stress-activated protein kinase signaling cascade,7.32E-06,BP
650,5.51E-07,253,GO:0043408,regulation of MAPK cascade,8.02E-06,BP
488,5.65E-07,462,GO:0010648,negative regulation of cell communication,8.17E-06,BP
425,5.75E-07,626,GO:0010647,positive regulation of cell communication,8.26E-06,BP
-797,6.03E-07,165,GO:0051052,regulation of DNA metabolic process,8.57E-06,BP
-637,6.04E-07,262,GO:1903046,meiotic cell cycle process,8.57E-06,BP
-584,6.23E-07,314,GO:0006520,cellular amino acid metabolic process,8.77E-06,BP
-1618,6.82E-07,39,GO:0033260,nuclear DNA replication,9.55E-06,BP
606,6.87E-07,288,GO:0002684,positive regulation of immune system process,9.55E-06,BP
1125,6.94E-07,81,GO:0008063,Toll signaling pathway,9.60E-06,BP
429,8.25E-07,594,GO:0015031,protein transport,1.13E-05,BP
480,8.33E-07,465,GO:0044092,negative regulation of molecular function,1.14E-05,BP
859,8.46E-07,138,GO:0031398,positive regulation of protein ubiquitination,1.14E-05,BP
775,8.47E-07,170,GO:0032147,activation of protein kinase activity,1.14E-05,BP
475,8.79E-07,473,GO:0016482,cytosolic transport,1.18E-05,BP
596,8.89E-07,292,GO:0071363,cellular response to growth factor stimulus,1.19E-05,BP
1348,9.20E-07,55,GO:0035666,TRIF-dependent toll-like receptor signaling pathway,1.22E-05,BP
1346,9.43E-07,55,GO:0002753,cytoplasmic pattern recognition receptor signaling pathway,1.24E-05,BP
517,9.79E-07,390,GO:0045859,regulation of protein kinase activity,1.28E-05,BP
986,9.81E-07,103,GO:0008286,insulin receptor signaling pathway,1.28E-05,BP
565,9.88E-07,324,GO:1902533,positive regulation of intracellular signal transduction,1.28E-05,BP
862,1.02E-06,135,GO:0000209,protein polyubiquitination,1.31E-05,BP
418,1.09E-06,612,GO:0015833,peptide transport,1.39E-05,BP
536,1.10E-06,359,GO:0043207;GO:0051707,response to other organism,1.40E-05,BP
701,1.16E-06,204,GO:0032535,regulation of cellular component size,1.47E-05,BP
626,1.27E-06,256,GO:0051046,regulation of secretion,1.59E-05,BP
743,1.29E-06,179,GO:0043410,positive regulation of MAPK cascade,1.61E-05,BP
927,1.29E-06,114,GO:0051403,stress-activated MAPK cascade,1.61E-05,BP
-1436,1.31E-06,47,GO:0000724;GO:0000725,double-strand break repair via homologous recombination,1.61E-05,BP
900,1.31E-06,121,GO:0002831,regulation of response to biotic stimulus,1.61E-05,BP
461,1.34E-06,486,GO:0022603,regulation of anatomical structure morphogenesis,1.64E-05,BP
-833,1.38E-06,141,GO:0071103,DNA conformation change,1.67E-05,BP
-618,1.41E-06,260,GO:0006820,anion transport,1.71E-05,BP
411,1.44E-06,621,GO:0023056,positive regulation of signaling,1.73E-05,BP
1346,1.48E-06,53,GO:0031348,negative regulation of defense response,1.77E-05,BP
746,1.53E-06,175,GO:0002697,regulation of immune effector process,1.83E-05,BP
555,1.66E-06,321,GO:0032101,regulation of response to external stimulus,1.96E-05,BP
381,1.79E-06,722,GO:0012501,programmed cell death,2.10E-05,BP
648,1.79E-06,231,GO:0051090,regulation of DNA-binding transcription factor activity,2.10E-05,BP
-614,1.89E-06,257,GO:0032787,monocarboxylic acid metabolic process,2.20E-05,BP
-901,1.91E-06,117,GO:1905039;GO:1903825,carboxylic acid transmembrane transport,2.22E-05,BP
1114,1.92E-06,76,GO:0042593,glucose homeostasis,2.22E-05,BP
404,1.93E-06,628,GO:0007568,aging,2.22E-05,BP
1330,1.98E-06,53,GO:0006900,vesicle budding from membrane,2.27E-05,BP
-1165,2.07E-06,69,GO:0051983,regulation of chromosome segregation,2.35E-05,BP
1223,2.30E-06,62,GO:0043624,cellular protein complex disassembly,2.60E-05,BP
1232,2.33E-06,61,GO:0002755,MyD88-dependent toll-like receptor signaling pathway,2.63E-05,BP
-1261,2.40E-06,58,GO:0033045,regulation of sister chromatid segregation,2.69E-05,BP
-1089,2.42E-06,78,GO:0000070,mitotic sister chromatid segregation,2.70E-05,BP
464,2.46E-06,453,GO:0051336,regulation of hydrolase activity,2.73E-05,BP
1370,2.47E-06,49,GO:0050777,negative regulation of immune response,2.73E-05,BP
-1030,2.51E-06,87,GO:0072330,monocarboxylic acid biosynthetic process,2.75E-05,BP
1086,2.56E-06,78,GO:2000134;GO:1902807,negative regulation of G1/S transition of mitotic cell cycle,2.80E-05,BP
1075,2.81E-06,79,GO:0033500,carbohydrate homeostasis,3.05E-05,BP
-828,2.83E-06,134,GO:0051260,protein homooligomerization,3.06E-05,BP
-1587,2.85E-06,36,GO:0006312,mitotic recombination,3.07E-05,BP
-587,3.01E-06,271,GO:0044848,biological phase,3.23E-05,BP
-967,3.16E-06,97,GO:0061982,meiosis I cell cycle process,3.37E-05,BP
-1557,3.20E-06,37,GO:0000018,regulation of DNA recombination,3.40E-05,BP
-967,3.50E-06,96,GO:0006766,vitamin metabolic process,3.70E-05,BP
-1490,3.63E-06,40,GO:0010833,telomere maintenance via telomere lengthening,3.82E-05,BP
940,3.76E-06,101,GO:0043433,negative regulation of DNA-binding transcription factor activity,3.93E-05,BP
380,3.82E-06,672,GO:0006915,apoptotic process,3.98E-05,BP
783,3.92E-06,146,GO:0018996,"molting cycle, collagen and cuticulin-based cuticle",4.06E-05,BP
-1658,3.97E-06,32,GO:0006284,base-excision repair,4.10E-05,BP
702,4.05E-06,182,GO:0023014,signal transduction by protein phosphorylation,4.16E-05,BP
391,4.13E-06,627,GO:0042886,amide transport,4.22E-05,BP
1655,4.14E-06,32,GO:0030433;GO:0036503,ubiquitin-dependent ERAD pathway,4.22E-05,BP
718,4.29E-06,173,GO:0031396,regulation of protein ubiquitination,4.35E-05,BP
477,4.32E-06,406,GO:0043549,regulation of kinase activity,4.35E-05,BP
-1017,4.33E-06,85,GO:0007127,meiosis I,4.35E-05,BP
541,4.51E-06,309,GO:0070848,response to growth factor,4.51E-05,BP
413,4.84E-06,548,GO:0006508,proteolysis,4.82E-05,BP
582,5.04E-06,263,GO:0043043,peptide biosynthetic process,5.00E-05,BP
-1264,5.07E-06,54,GO:0033047,regulation of mitotic sister chromatid segregation,5.00E-05,BP
565,5.23E-06,278,GO:0006605,protein targeting,5.14E-05,BP
1206,5.47E-06,59,GO:0034134,toll-like receptor 2 signaling pathway,5.35E-05,BP
-578,5.62E-06,264,GO:0022403,cell cycle phase,5.47E-05,BP
-706,6.57E-06,172,GO:0006732,coenzyme metabolic process,6.35E-05,BP
-1549,6.58E-06,35,GO:0031577,spindle checkpoint,6.35E-05,BP
579,6.69E-06,258,GO:0030155,regulation of cell adhesion,6.44E-05,BP
-648,6.90E-06,204,GO:0006790,sulfur compound metabolic process,6.60E-05,BP
-1005,7.15E-06,83,GO:0006323,DNA packaging,6.81E-05,BP
546,8.01E-06,287,GO:1901699,cellular response to nitrogen compound,7.59E-05,BP
678,8.04E-06,183,GO:1903320,regulation of protein modification by small protein conjugation or removal,7.59E-05,BP
-1596,9.01E-06,32,GO:0033046;GO:0051985,negative regulation of chromosome segregation,8.48E-05,BP
1080,9.35E-06,70,GO:0032088,negative regulation of NF-kappaB transcription factor activity,8.70E-05,BP
-1645,9.36E-06,30,GO:0032201,telomere maintenance via semi-conservative replication,8.70E-05,BP
1330,9.38E-06,46,GO:0006901,vesicle coating,8.70E-05,BP
438,9.40E-06,449,GO:0060341,regulation of cellular localization,8.70E-05,BP
-1161,1.01E-05,60,GO:2001251,negative regulation of chromosome organization,9.30E-05,BP
-796,1.02E-05,129,GO:0098656,anion transmembrane transport,9.33E-05,BP
-1609,1.04E-05,31,GO:0071173,spindle assembly checkpoint,9.55E-05,BP
-1224,1.22E-05,53,GO:0010965;GO:1905818,regulation of chromosome separation,1.11E-04,BP
858,1.28E-05,108,GO:0001819,positive regulation of cytokine production,1.16E-04,BP
732,1.58E-05,146,GO:0008361,regulation of cell size,1.43E-04,BP
359,1.65E-05,652,GO:0051049,regulation of transport,1.49E-04,BP
761,1.71E-05,134,GO:0046328,regulation of JNK cascade,1.53E-04,BP
-615,1.88E-05,205,GO:0007059,chromosome segregation,1.68E-04,BP
1376,1.90E-05,40,GO:0033619,membrane protein proteolysis,1.68E-04,BP
1154,1.90E-05,57,GO:0034130,toll-like receptor 1 signaling pathway,1.68E-04,BP
1115,1.90E-05,61,GO:0032675,regulation of interleukin-6 production,1.68E-04,BP
-948,2.08E-05,84,GO:0000819,sister chromatid segregation,1.83E-04,BP
-1506,2.09E-05,33,GO:0000722,telomere maintenance via recombination,1.83E-04,BP
580,2.16E-05,228,GO:0001558,regulation of cell growth,1.88E-04,BP
1012,2.22E-05,73,GO:0002819,regulation of adaptive immune response,1.93E-04,BP
553,2.23E-05,251,GO:1901652,response to peptide,1.93E-04,BP
1047,2.26E-05,68,GO:0051099,positive regulation of binding,1.95E-04,BP
1572,2.27E-05,30,GO:0032092,positive regulation of protein binding,1.95E-04,BP
-729,2.37E-05,141,GO:0015893,drug transport,2.03E-04,BP
875,2.46E-05,97,GO:2000045;GO:1902806,regulation of cell cycle G1/S phase transition,2.09E-04,BP
1334,2.69E-05,41,GO:0035419,activation of MAPK activity involved in innate immune response,2.29E-04,BP
-1557,2.74E-05,30,GO:0007094;GO:0045841;GO:1902100;GO:2000816;GO:0033048;GO:1905819,mitotic spindle assembly checkpoint,2.32E-04,BP
468,2.82E-05,347,GO:0030029,actin filament-based process,2.38E-04,BP
427,2.84E-05,420,GO:0051248,negative regulation of protein metabolic process,2.38E-04,BP
-972,2.88E-05,77,GO:0043648,dicarboxylic acid metabolic process,2.41E-04,BP
747,2.96E-05,131,GO:0000956,nuclear-transcribed mRNA catabolic process,2.46E-04,BP
652,2.99E-05,173,GO:0071375;GO:1901653,cellular response to peptide hormone stimulus,2.48E-04,BP
-895,3.19E-05,90,GO:0003333,amino acid transmembrane transport,2.64E-04,BP
-627,3.21E-05,186,GO:1901605,alpha-amino acid metabolic process,2.64E-04,BP
657,3.22E-05,169,GO:0043405,regulation of MAP kinase activity,2.64E-04,BP
-1074,3.29E-05,62,GO:0006805,xenobiotic metabolic process,2.69E-04,BP
716,3.34E-05,141,GO:0032872;GO:0070302,regulation of stress-activated MAPK cascade,2.72E-04,BP
1100,3.37E-05,59,GO:0071453,cellular response to oxygen levels,2.73E-04,BP
-907,3.40E-05,87,GO:0044839,cell cycle G2/M phase transition,2.75E-04,BP
411,3.45E-05,446,GO:0016071,mRNA metabolic process,2.78E-04,BP
-557,3.51E-05,235,GO:0098763,mitotic cell cycle phase,2.82E-04,BP
1298,3.54E-05,42,GO:0002698,negative regulation of immune effector process,2.83E-04,BP
428,3.58E-05,407,GO:0032269,negative regulation of cellular protein metabolic process,2.85E-04,BP
-1161,3.91E-05,52,GO:0006855,drug transmembrane transport,3.10E-04,BP
574,3.92E-05,218,GO:1900542,regulation of purine nucleotide metabolic process,3.10E-04,BP
711,4.04E-05,140,GO:0006402,mRNA catabolic process,3.19E-04,BP
-811,4.07E-05,107,GO:0006865,amino acid transport,3.20E-04,BP
569,4.26E-05,220,GO:0006140,regulation of nucleotide metabolic process,3.34E-04,BP
-677,4.41E-05,153,GO:0006575,cellular modified amino acid metabolic process,3.44E-04,BP
1281,4.47E-05,42,GO:0007160,cell-matrix adhesion,3.47E-04,BP
719,4.47E-05,135,GO:0043406,positive regulation of MAP kinase activity,3.47E-04,BP
-907,4.66E-05,84,GO:0000086,G2/M transition of mitotic cell cycle,3.60E-04,BP
-815,4.74E-05,104,GO:0007088,regulation of mitotic nuclear division,3.65E-04,BP
1261,4.84E-05,43,GO:0050688,regulation of defense response to virus,3.71E-04,BP
643,4.94E-05,168,GO:0071902,positive regulation of protein serine/threonine kinase activity,3.78E-04,BP
619,5.02E-05,181,GO:0051650,establishment of vesicle localization,3.82E-04,BP
532,5.05E-05,248,GO:0071417,cellular response to organonitrogen compound,3.83E-04,BP
1243,5.09E-05,44,GO:0042035,regulation of cytokine biosynthetic process,3.86E-04,BP
-1390,5.23E-05,35,GO:0045839,negative regulation of mitotic nuclear division,3.94E-04,BP
1153,5.26E-05,51,GO:0001816,cytokine production,3.95E-04,BP
999,5.34E-05,68,GO:0006892,post-Golgi vesicle-mediated transport,4.00E-04,BP
839,5.71E-05,96,GO:0007254,JNK cascade,4.26E-04,BP
1025,5.72E-05,64,GO:0051437,obsolete positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition,4.26E-04,BP
-378,5.91E-05,501,GO:0006974,cellular response to DNA damage stimulus,4.37E-04,BP
-1400,5.92E-05,34,GO:0051289,protein homotetramerization,4.37E-04,BP
910,5.98E-05,81,GO:0009746,response to hexose,4.41E-04,BP
560,6.07E-05,218,GO:0045321,leukocyte activation,4.44E-04,BP
1063,6.07E-05,59,GO:0001818,negative regulation of cytokine production,4.44E-04,BP
386,6.13E-05,476,GO:0060284,regulation of cell development,4.47E-04,BP
969,6.18E-05,71,GO:0002822,regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,4.50E-04,BP
521,6.21E-05,252,GO:0080135,regulation of cellular response to stress,4.50E-04,BP
662,6.23E-05,154,GO:0043087,regulation of GTPase activity,4.50E-04,BP
605,7.11E-05,182,GO:0051348,negative regulation of transferase activity,5.12E-04,BP
1365,7.14E-05,35,GO:0030951,establishment or maintenance of microtubule cytoskeleton polarity,5.12E-04,BP
-1017,7.50E-05,63,GO:0006289,nucleotide-excision repair,5.37E-04,BP
1128,7.58E-05,51,GO:0010771,negative regulation of cell morphogenesis involved in differentiation,5.41E-04,BP
905,7.97E-05,79,GO:0051224;GO:1904950,negative regulation of establishment of protein localization,5.67E-04,BP
645,8.06E-05,157,GO:0000165,MAPK cascade,5.71E-04,BP
637,8.09E-05,161,GO:0022407,regulation of cell-cell adhesion,5.71E-04,BP
