"N","High level GO category","Genes"
14,"localization","P09327 Q96Q42 O94906 Q9UQ90 O95639 P14207 Q14114 Q9UBG0 A1X283 Q9NZM3 Q9UHC6 P12270 Q14247 Q9NRA8"
13,"positive regulation of biological process","P09327 Q96Q42 O94906 P14207 Q14114 A1X283 Q96I24 Q8N5U6 Q9NZM3 P12270 Q9BV94 Q14247 Q9H4G4"
11,"response to stimulus","P09327 Q96Q42 P14207 Q14114 Q9UBG0 Q9UHC6 Q86Y13 P12270 Q9Y253 Q9BV94 Q86WA6"
11,"establishment of localization","P09327 Q96Q42 Q9UQ90 O95639 P14207 Q14114 Q9UBG0 Q9NZM3 P12270 Q14247 Q9NRA8"
10,"cellular component organization","P09327 Q96Q42 O94906 Q9UQ90 P12111 A1X283 Q9UHC6 P12270 O43684 Q14247"
10,"cellular response to stimulus","P09327 Q96Q42 P14207 Q14114 Q9UBG0 Q86Y13 P12270 Q9Y253 Q9BV94 Q86WA6"
10,"cellular component organization or biogenesis","P09327 Q96Q42 O94906 Q9UQ90 P12111 A1X283 Q9UHC6 P12270 O43684 Q14247"
8,"macromolecule localization","Q96Q42 O94906 O95639 A1X283 Q9UHC6 P12270 Q14247 Q9NRA8"
8,"negative regulation of biological process","P09327 P12111 Q14114 Q8N5U6 P12270 O43684 Q14247 Q9NRA8"
8,"regulation of developmental process","P09327 Q14114 A1X283 Q8N5U6 Q9NZM3 Q14247 Q9H4G4 Q9NRA8"
8,"regulation of multicellular organismal process","P09327 Q14114 A1X283 Q8N5U6 Q9NZM3 Q14247 Q9H4G4 Q9NRA8"
7,"signaling","P09327 Q96Q42 Q14114 Q9UBG0 Q9UHC6 Q86Y13 Q9BV94"
7,"response to chemical","P09327 P14207 Q14114 Q86Y13 P12270 Q9BV94 Q86WA6"
7,"regulation of response to stimulus","P09327 Q96Q42 Q9NZM3 Q9Y253 Q9BV94 Q14247 Q9H4G4"
6,"response to stress","Q96Q42 P14207 Q86Y13 P12270 Q9Y253 Q9BV94"
6,"catabolic process","Q9UBG0 Q86Y13 O43684 Q9BV94 Q13825 P07098"
6,"biosynthetic process","O95639 Q9P2K5 Q96I24 Q8N5U6 Q8NEP9 Q9Y253"
6,"cellular localization","Q96Q42 O95639 A1X283 Q9UHC6 P12270 Q14247"
6,"multi-organism process","Q8TB22 P09327 O95639 A1X283 Q9UHC6 P12270"
6,"regulation of biological quality","P09327 Q96Q42 Q9UQ90 Q14114 A1X283 Q14247"
6,"regulation of molecular function","P09327 Q96Q42 P12111 Q14114 A1X283 Q9NZM3"
5,"regulation of signaling","Q96Q42 Q14114 Q9NZM3 Q14247 Q9H4G4"
5,"regulation of growth","P09327 A1X283 Q9NZM3 Q14247 P21127"
4,"cell adhesion","P12111 Q9UHC6 Q14247 Q4LDE5"
4,"anatomical structure morphogenesis","Q96Q42 A1X283 Q9UHC6 Q14247"
4,"biological adhesion","P12111 Q9UHC6 Q14247 Q4LDE5"
4,"regulation of localization","P09327 P12270 Q9BV94 Q9H4G4"
4,"cellular component biogenesis","P09327 O94906 A1X283 Q14247"
4,"regulation of cellular component biogenesis","P09327 A1X283 P12270 Q14247"
3,"reproduction","Q8TB22 A1X283 O43684"
3,"response to external stimulus","P09327 P14207 Q9UHC6"
3,"response to abiotic stimulus","Q9UHC6 P12270 Q9Y253"
3,"response to endogenous stimulus","P09327 P14207 P12270"
3,"reproductive process","Q8TB22 A1X283 O43684"
2,"system process","P09327 Q9UHC6"
2,"behavior","Q96Q42 Q9UHC6"
2,"cell cycle process","P12270 O43684"
2,"multicellular organism reproduction","Q8TB22 A1X283"
2,"locomotion","P09327 Q14247"
2,"regulation of locomotion","P09327 Q9H4G4"
2,"interspecies interaction between organisms","O95639 P12270"
2,"multi-organism reproductive process","Q8TB22 A1X283"
2,"multicellular organismal reproductive process","Q8TB22 A1X283"
2,"cell motility","P09327 Q14247"
2,"localization of cell","P09327 Q14247"
