"","pval","direction","color"
"21/33 aspartate family amino acid metabolic process",0.0740837696335089,0,"black"
"458/798 small molecule metabolic process",1e-15,0,"black"
"263/430 organic acid metabolic process",1e-15,0,"black"
"18/31 sulfur amino acid metabolic process",0.0397163120567386,0,"black"
"126/205 cellular amino acid metabolic process",1e-15,0,"black"
"21/33 ammonium ion metabolic process",0.0870731707317083,0,"black"
"12/15 regulation of fatty acid metabolic process",0.0175925925925936,0,"black"
"9/9 regulation of fatty acid oxidation",0.0108247422680422,0,"black"
"15/20 fatty acid oxidation",1e-15,0,"black"
"16/25 lipid modification",0.00555555555555656,0,"black"
"103/171 monocarboxylic acid metabolic process",1e-15,0,"black"
"20/26 monocarboxylic acid catabolic process",1e-15,0,"black"
"85/157 lipid biosynthetic process",0.00522388059701592,0,"black"
"121/254 cellular lipid metabolic process",0.00338983050847558,0,"black"
"25/43 fatty acid biosynthetic process",0.0984234234234244,0,"black"
"196/402 lipid metabolic process",0.000892857142858143,0,"black"
"65/109 fatty acid metabolic process",1e-15,0,"black"
"7/7 germarium-derived oocyte fate determination",0.0520958083832345,0,"black"
"16/24 spindle organization",0.0871359223300981,0,"black"
"7/7 intercellular bridge organization",0.0395833333333343,0,"black"
"144/320 protein-containing complex subunit organization",0.030468750000001,0,"black"
"6/8 spliceosomal complex assembly",0.0174311926605515,0,"black"
"35/63 ribonucleoprotein complex subunit organization",0.00416666666666767,0,"black"
"5/6 mitochondrial respiratory chain complex assembly",0.039568345323742,0,"black"
"86/191 cellular protein-containing complex assembly",0.0371323529411775,0,"black"
"16/18 cilium or flagellum-dependent cell motility",1e-15,0,"black"
"126/251 microtubule-based process",0.00563380281690241,0,"black"
"87/158 microtubule-based movement",1e-15,0,"black"
"9/10 metaphase",0.0487421383647809,0,"black"
"9/10 establishment of chromosome localization",0.0521212121212131,0,"black"
"8/9 chromosome movement towards spindle pole",0.0897619047619058,0,"black"
"13/18 acute inflammatory response",0.0147619047619058,0,"black"
"12/14 cellular response to cytokine stimulus",0.0241666666666677,0,"black"
"27/39 response to cytokine",0.0053030303030313,0,"black"
"5/5 response to interferon-beta",0.0414383561643846,0,"black"
"9/10 regulation of nitric-oxide synthase activity",0.0340909090909101,0,"black"
"12/15 regulation of oxidoreductase activity",0.0343511450381689,0,"black"
"6/7 positive regulation of vascular endothelial growth factor production",0.0927230046948367,0,"black"
"10/15 regulation of endothelial cell proliferation",0.0621387283237004,0,"black"
"9/9 cellular response to hypoxia",0.0108695652173923,0,"black"
"6/9 protein targeting to mitochondrion",0.0135922330097097,0,"black"
"18/26 mitochondrial transport",0.00670731707317173,0,"black"
"41/91 protein localization to organelle",0.0422297297297307,0,"black"
"8/14 protein localization to mitochondrion",0.0490740740740751,0,"black"
"6/7 regulation of chromatin organization",0.0213675213675224,0,"black"
"15/23 mitotic cell cycle checkpoint",0.0867149758454116,0,"black"
"17/20 regulation of chromosome segregation",0.00538461538461638,0,"black"
"9/10 negative regulation of chromosome organization",0.00519480519480619,0,"black"
"13/15 regulation of sister chromatid segregation",0.00679012345679112,0,"black"
"20/27 regulation of chromosome organization",1e-15,0,"black"
"9/10 spindle checkpoint",0.0107142857142867,0,"black"
"20/30 regulation of nuclear division",0.0445161290322591,0,"black"
"9/10 negative regulation of nuclear division",0.02439024390244,0,"black"
"29/55 regulation of mRNA metabolic process",0.081592039800996,0,"black"
"10/18 regulation of alternative mRNA splicing, via spliceosome",0.0898104265402854,0,"black"
"472/1209 regulation of nucleobase-containing compound metabolic process",0.0104395604395614,0,"black"
"13/21 RNA 3'-end processing",0.0824257425742584,0,"black"
"7/9 7-methylguanosine RNA capping",0.0748717948717959,0,"black"
"251/430 RNA processing",1e-15,0,"black"
"177/357 mRNA metabolic process",1e-15,0,"black"
"120/216 RNA splicing",1e-15,0,"black"
"53/83 RNA transport",1e-15,0,"black"
"48/71 nuclear transport",1e-15,0,"black"
"22/33 nuclear export",0.0394366197183109,0,"black"
"22/40 protein import",0.0655367231638428,0,"black"
"5/8 NLS-bearing protein import into nucleus",0.0172727272727283,0,"black"
"32/70 viral process",0.0467948717948728,0,"black"
"5/7 viral life cycle",0.0559171597633146,0,"black"
"136/201 ncRNA metabolic process",1e-15,0,"black"
"5/5 maturation of 5.8S rRNA",0.00533333333333433,0,"black"
"67/85 rRNA metabolic process",1e-15,0,"black"
"8/9 snRNA metabolic process",0.0295275590551191,0,"black"
"94/128 ncRNA processing",1e-15,0,"black"
"7/11 neuromuscular process controlling balance",0.0302325581395359,0,"black"
"12/17 neuromuscular process",0.0110526315789484,0,"black"
"4/7 hair follicle development",0.0664835164835175,0,"black"
"31/55 amino acid activation",0.00773809523809624,0,"black"
"25/29 tRNA processing",1e-15,0,"black"
"53/83 tRNA metabolic process",1e-15,0,"black"
"5/5 tRNA modification",0.010752688172044,0,"black"
"19/21 RNA modification",1e-15,0,"black"
"6/7 pseudouridine synthesis",0.0245901639344272,0,"black"
"318/771 cellular protein metabolic process",0.0155660377358501,0,"black"
"15/27 post-translational protein modification",0.067027027027028,0,"black"
"31/66 protein glycosylation",0.0651685393258437,0,"black"
"19/32 protein N-linked glycosylation",0.0137254901960794,0,"black"
"7/7 protein-cofactor linkage",1e-15,0,"black"
"7/9 N-terminal protein amino acid modification",0.00514705882353041,0,"black"
"6/19 protein methylation",0.0435064935064945,0,"black"
"86/168 peptidyl-amino acid modification",1e-15,0,"black"
"37/77 peptidyl-lysine modification",0.0391608391608402,0,"black"
"5/5 neural retina development",0.026984126984128,0,"black"
"511/1305 organic cyclic compound biosynthetic process",1e-15,0,"black"
"304/753 RNA biosynthetic process",0.00344827586206997,0,"black"
"9/11 histone H2A acetylation",0.037037037037038,0,"black"
"31/48 protein acylation",0.00507246376811694,0,"black"
"12/17 histone H4 acetylation",0.0803030303030313,0,"black"
