"ContigName","Uniprotmatch"
"contig181454","No_Uniprotmatch"
"adi_v1.02484","Q9UJA9"
"isotig13315","P35556"
"contig181903","No_Uniprotmatch"
"adi_v1.02169","P71694"
"contig182188","No_Uniprotmatch"
"contig182456","No_Uniprotmatch"
"contig182527","P06582"
"contig182622","No_Uniprotmatch"
"contig182787","No_Uniprotmatch"
"adi_v1.01867","Q28H87"
"adi_v1.05186","Q6RI86"
"adi_v1.18053","P70196"
"contig185267","No_Uniprotmatch"
"contig185547","No_Uniprotmatch"
"E60BDOM02IDQN5","E2AVM3"
"adi_v1.04950","P39429"
"contig187421","O88947"
"adi_v1.09758","O94431"
"adi_v1.05413","Q8MJU1"
"contig189107","No_Uniprotmatch"
"contig189806","No_Uniprotmatch"
"adi_v1.05676","Q7PIR5"
"contig190048","No_Uniprotmatch"
"adi_v1.20734","A2E8Z5"
"contig190125","No_Uniprotmatch"
"contig190552","No_Uniprotmatch"
"adi_v1.00030","P28648"
"adi_v1.18053","P70196"
"contig193816","No_Uniprotmatch"
"adi_v1.11285","Q66L32"
"adi_v1.18681","Q964T1"
"adi_v1.10419","Q9NQT8"
"contig195167","No_Uniprotmatch"
"contig203566","O57683"
"contig203707","No_Uniprotmatch"
"adi_v1.07374","A8WHP3"
"contig203798","No_Uniprotmatch"
"contig203951","No_Uniprotmatch"
"contig204494","No_Uniprotmatch"
"adi_v1.14331","P35749"
"contig204749","No_Uniprotmatch"
"contig205180","Q6GQX6"
"isotig10534","Q8WPW2"
"isotig12216","Q9CXV1"
"adi_v1.24710","Q5ZJP7"
"adi_v1.19182","Q6PDK2"
"contig205793","No_Uniprotmatch"
"contig205993","Q04336"
"adi_v1.12005","P63696"
"contig207969","D2VJT2"
"adi_v1.18262","Q9BZM1"
"contig209067","No_Uniprotmatch"
"contig209093","No_Uniprotmatch"
"contig209237","No_Uniprotmatch"
"contig209476","No_Uniprotmatch"
"adi_v1.02628","A2AHL1"
"isotig14439","Q21086"
"contig209796","No_Uniprotmatch"
"contig209948","No_Uniprotmatch"
"contig210208","No_Uniprotmatch"
"contig210480","No_Uniprotmatch"
"adi_v1.23115","O54991"
"adi_v1.20625","O88563"
"contig210897","No_Uniprotmatch"
"adi_v1.04638","Q07157"
"contig211184","No_Uniprotmatch"
"adi_v1.13670","Q38913"
"adi_v1.07088","C3YN36"
"contig212331","No_Uniprotmatch"
"contig212536","No_Uniprotmatch"
"contig212657","No_Uniprotmatch"
"adi_v1.08136","Q6DFG0"
"adi_v1.05989","P36898"
"isotig02871","P02516"
"contig214244","No_Uniprotmatch"
"contig214413","No_Uniprotmatch"
"contig214565","No_Uniprotmatch"
"contig214658","No_Uniprotmatch"
"contig214706","No_Uniprotmatch"
"adi_v1.18225","Q9ER63"
"contig215080","No_Uniprotmatch"
"adi_v1.09719","Q9JLZ1"
"isotig09542","O16025"
"adi_v1.14743","B1VEI4"
"contig216986","No_Uniprotmatch"
"contig217053","No_Uniprotmatch"
"contig218790","No_Uniprotmatch"
"isotig05083","Q5ZJQ7"
"contig219397","No_Uniprotmatch"
"contig219464","No_Uniprotmatch"
"contig219565","No_Uniprotmatch"
"adi_v1.17481","P12108"
"contig600046","D9IQ16"
"contig600064","Q90243"
"contig600071","B0ZZ78"
"adi_v1.17638","Q9VBW3"
"contig600103","No_Uniprotmatch"
"isotig05410","Q9BLJ6"
"contig600160","Q5UNS8"
"adi_v1.19324","Q9UBS8"
"contig130896_173361","No_Uniprotmatch"
"contig178252_195483","No_Uniprotmatch"
"adi_v1.16094","Q6J1Y9"
"contig215103_199910","F6Z2C1"
"adi_v1.19518","Q14517"
"adi_v1.08136","Q6DFG0"
"adi_v1.11466","A8TX70"
"adi_v1.14721","Q96RW7"
"contig180001_210700_176315","No_Uniprotmatch"
"adi_v1.12374","Q91Y77"
"contig96335_96261","No_Uniprotmatch"
"contig157115_175566","B7T144"
"adi_v1.00839","E3LM71"
"contig78253_202552_149106_66408_189310","Q14517"
"contig99611_146378","P28047"
"adi_v1.06107","Q504N2"
"contig177775_113472","P63696"
"adi_v1.14580","Q9EPX2"
"adi_v1.10942","O88799"
"contig149467_189648","No_Uniprotmatch"
"contig214637_183712","No_Uniprotmatch"
"adi_v1.08173","P21328"
"contig190703_124989_101083_158303","Q9P2E3"
"adi_v1.15666","Q8N3Z3"
"contig52594_192245_70330","P28570"
"adi_v1.12990","A8W490"
"adi_v1.23652","Q93YS4"
"contig132966_210546_87461_180132","P06795"
"adi_v1.04803","B4NZY8"
"adi_v1.01418","P41180"
"adi_v1.06151","Q9U943"
"adi_v1.13255","Q8WZ42"
"adi_v1.18263","O74549"
"contig190867_165121","No_Uniprotmatch"
"adi_v1.17109","O15230"
"contig159584_70230_186342_600040","Q9ULT8"
"adi_v1.10944","Q96AY4"
"contig23801_107814","Q63342"
"contig600098_167965","Q9NZM1"
"contig160146_209213","Q8N8K9"
"adi_v1.06234","P00767"
"contig24525_204096","No_Uniprotmatch"
"adi_v1.05430","P86229"
"adi_v1.23651","Q84TH5"
"contig146323_179117","Q9QXA6"
"contig110653_75183","C3XXQ1"
"contig132005_204441_105580_82308","D5SQW8"
"adi_v1.06151","Q9U943"
"contig205659_169896","No_Uniprotmatch"
"adi_v1.10904","P13944"
"adi_v1.20273","O00468"
"contig182944_17556_48503","P25886"
"contig183957_148073","Q21890"
"contig113284_97790","Q9Z220"
"adi_v1.11401","Q28092"
"adi_v1.04074","Q14766"
"adi_v1.23122","Q03146"
"adi_v1.13580","P02563"
"contig204480_119757","No_Uniprotmatch"
"adi_v1.18225","Q9ER63"
"adi_v1.18255","Q29RU2"
"adi_v1.09951","P80172"
"adi_v1.12528","Q5ZJN2"
"contig21428_114944","Q12955"
"adi_v1.19462","B1WAS2"
"adi_v1.13459","P02462"
"contig113897_152620_73483","No_Uniprotmatch"
"contig93818_160585_147605","Q93008"
