"ContigName","Uniprotmatch"
"adi_v1.04852","Q14005"
"isotig03629","P27139"
"contig210943","No_Uniprotmatch"
"contig211184","No_Uniprotmatch"
"adi_v1.19950","Q6DFA8"
"contig216986","No_Uniprotmatch"
"contig217197","No_Uniprotmatch"
"isotig05083","Q5ZJQ7"
"isotig06831","Q5PQX1"
"adi_v1.12230","Q9UKV3"
"contig600047","Q68CP9"
"contig600133","Q9CYL5"
"adi_v1.03683","O16025"
"adi_v1.09597","Q6NUF4"
"adi_v1.02750","Q9HAR2"
"adi_v1.18439","O46640"
"adi_v1.01886","A1E2V0"
"adi_v1.00249","Q9UNQ2"
"adi_v1.23219","Q6P4Z2"
"adi_v1.23241","Q9LIG0"
"contig177775_113472","P63696"
"contig149662_117616_148448","Q9IA31"
"adi_v1.15021","Q1IR11"
"adi_v1.17431","Q8TDM6"
"adi_v1.01418","P41180"
"adi_v1.06151","Q9U943"
"adi_v1.17109","O15230"
"contig135928_105862_153203","Q96RW7"
"adi_v1.14595","B1VEI4"
"adi_v1.05347","Q90Y54"
"adi_v1.01477","P46531"
"adi_v1.06234","P00767"
"adi_v1.05430","P86229"
"contig110653_75183","C3XXQ1"
"adi_v1.06151","Q9U943"
"contig205659_169896","No_Uniprotmatch"
"adi_v1.10904","P13944"
"adi_v1.07120","Q0V8T4"
"contig22054_82905_115590_152152","C3Z5T0"
"contig195697_209819_169759_152185","Q96RW7"
"adi_v1.02705","E5S895"
"adi_v1.01918","Q8N0W4"
"contig145799_109588","Q96RW7"
"contig170944_169593","Q9DAW6"
"contig174539_138689","Q7KM13"
"contig180194_98013","No_Uniprotmatch"
